1455147399,2016-02-10 23:36:39, 3.25,614,630
1455147407,2016-02-10 23:36:47, 3.25,614,630
1455147415,2016-02-10 23:36:55, 3.25,614,630
1455147423,2016-02-10 23:37:03, 3.25,614,630
1455147431,2016-02-10 23:37:11, 3.25,613,630
1455147439,2016-02-10 23:37:19, 2.75,614,630
1455147447,2016-02-10 23:37:27, 2.75,614,630
1455147455,2016-02-10 23:37:35, 2.75,615,630
1455147463,2016-02-10 23:37:43, 2.75,614,630
1455147471,2016-02-10 23:37:51, 2.75,615,630
1455147479,2016-02-10 23:37:59, 2.75,614,630
1455147487,2016-02-10 23:38:07, 2.75,614,630
1455147495,2016-02-10 23:38:15, 2.75,614,630
1455147503,2016-02-10 23:38:23, 2.75,614,630
1455147511,2016-02-10 23:38:31, 2.75,615,630
1455147519,2016-02-10 23:38:39, 2.75,614,630
1455147528,2016-02-10 23:38:48, 2.75,615,630
1455147536,2016-02-10 23:38:56, 2.75,615,630
1455147544,2016-02-10 23:39:04, 2.75,614,630
1455147552,2016-02-10 23:39:12, 2.75,615,630
1455147560,2016-02-10 23:39:20, 2.75,614,630
1455147568,2016-02-10 23:39:28, 2.50,615,630
1455147576,2016-02-10 23:39:36, 2.50,614,630
1455147584,2016-02-10 23:39:44, 2.50,615,630
1455147592,2016-02-10 23:39:52, 2.50,614,630
1455147600,2016-02-10 23:40:00, 2.50,615,630
1455147608,2016-02-10 23:40:08, 2.50,614,630
1455147616,2016-02-10 23:40:16, 2.50,615,630
1455147624,2016-02-10 23:40:24, 2.50,615,630
1455147632,2016-02-10 23:40:32, 2.25,615,630
1455147640,2016-02-10 23:40:40, 2.25,615,630
1455147648,2016-02-10 23:40:48, 2.25,615,630
1455147656,2016-02-10 23:40:56, 2.25,615,630
1455147664,2016-02-10 23:41:04, 2.25,615,630
1455147673,2016-02-10 23:41:13, 2.25,615,630
1455147681,2016-02-10 23:41:21, 2.25,615,630
1455147689,2016-02-10 23:41:29, 2.25,615,630
1455147697,2016-02-10 23:41:37, 2.25,615,630
1455147705,2016-02-10 23:41:45, 2.25,615,630
1455147713,2016-02-10 23:41:53, 2.25,615,630
